module,question_id,question_text,response_type,options,base,required,kpi_ids,model_roles,cadence
配额与分层,S1,您的年龄是？,单选,18-24 | 25-34 | 35-44 | 45-54,全部有效被访者,True,,分层 | 权重 | 异质性,每期
配额与分层,S2,您的性别是？,单选,男性 | 女性,全部有效被访者,True,,分层 | 权重 | 公平性检查,每期
配额与分层,S3,您目前常住的地区是？,单选,华东 | 华南 | 华北 | 华中 | 西南 | 东北,全部有效被访者,True,,分层 | 权重 | 区域差异,每期
配额与分层,S4,您目前常住城市的级别是？,单选,一线 | 新一线 | 二线 | 三线及以下,全部有效被访者,True,,分层 | 渠道可达性,每期
配额与分层,S5,您的个人月收入是？,单选,6000以下 | 6000-12000 | 12000-20000 | 20000以上,全部有效被访者,True,,价格异质性 | 人群分层,每期
品类基线,Q1,过去3个月，您购买过以下哪些零食品类？,多选,膨化食品 | 坚果炒货 | 果干蜜饯 | 饼干糕点 | 肉类零食 | 糖果巧克力 | 以上均无,全部有效被访者,True,KPI_PENETRATION_3M,购买倾向特征 | 深度模块路由,每期
品类基线,Q2,过去3个月，您通常每月购买膨化食品多少次？,数值,0-12次,Q1选择膨化食品,True,KPI_MONTHLY_BUYER | KPI_FREQUENCY_BUYER,购买强度 | 购买倾向特征,每期
品类基线,Q3,您最近一个月购买膨化食品的总支出约为多少？,数值,人民币元,Q1选择膨化食品,True,KPI_MONTHLY_SPEND_BUYER,消费价值 | 价格分层,每期
渠道,Q4,过去3个月，您通过哪些渠道购买过膨化食品？,多选,零食量贩 | 综合电商 | 商超 | 即时零售 | 便利店,Q1选择膨化食品,True,KPI_CHANNEL_REACH,渠道覆盖 | 渠道重叠,每期
渠道,Q5,您购买膨化食品最主要的渠道是？,单选,零食量贩 | 综合电商 | 商超 | 即时零售 | 便利店,Q1选择膨化食品,True,KPI_MAIN_CHANNEL,渠道倾向 | 渠道情景,每期
场景与需求,Q6,您通常在什么场景食用膨化食品？,多选,追剧娱乐 | 工作学习间隙 | 家庭分享 | 通勤出行 | 社交聚会,Q1选择膨化食品,True,KPI_OCCASION_REACH,场景分层 | 机会识别,每期
场景与需求,Q7,选择膨化食品时，以下因素对您有多重要？,5点评分矩阵,口味 | 价格 | 健康/成分 | 品牌 | 包装便利 | 新奇感,全部有效被访者,True,KPI_NEED_IMPORTANCE,需求驱动 | 人群分层 | 选择模型交互,每期
场景与需求,Q8,现有膨化食品在健康负担、配料透明和规格便利方面满足您的程度如何？,5点评分矩阵,健康负担 | 配料透明 | 规格便利,全部有效被访者,True,KPI_HEALTH_FIT_T2B | KPI_UNMET_NEED,需求缺口 | 新品方向,每期
价格,Q9,对于70g袋装膨化食品，在以下价格下您是否会考虑购买？,Gabor-Granger逐价询问,¥5.9 | ¥7.9 | ¥9.9 | ¥11.9,全部有效被访者,True,KPI_PRICE_ACCEPT_7_9 | KPI_PRICE_CURVE,价格接受曲线 | 价格弹性,半年
新品概念,Q10,请评价一款70g可重复封口、轻油咸香的膨化食品概念。,5点评分矩阵,相关性 | 差异化 | 购买意向,全部有效被访者,True,KPI_CONCEPT_RELEVANCE_T2B | KPI_CONCEPT_TRIAL_T2B,概念门槛 | 购买倾向目标,按概念
未来行为,Q11,未来1个月，您购买膨化食品的可能性有多大？,5点评分,1完全不可能 | 2 | 3 | 4 | 5非常可能,全部有效被访者,True,KPI_PURCHASE_INTENT_T2B,购买倾向目标,每期
离散选择实验,DCE1-DCE8,在方案A、方案B和均不选择之间做出选择。,三选一选择任务,方案A | 方案B | 均不选择,全部有效被访者；每人8题,True,KPI_DCE_UTILITIES | KPI_SCENARIO_SHARE,价格、口味、规格、包装、健康表达和品牌层级效用,半年
开放题,OE1,理想的膨化食品还应改善什么？,开放题,,全部有效被访者,False,,主题编码 | 下一期题目建议,每期轮换
